iter	Passed	Remaining
167	305	1514
168	307	1513
169	309	1510
170	311	1509
171	313	1507
172	314	1504
173	316	1502
174	318	1499
175	319	1498
176	321	1495
177	323	1493
178	325	1494
179	327	1493
180	329	1491
181	331	1489
182	334	1491
183	337	1495
184	338	1492
185	340	1491
186	342	1490
187	344	1487
188	346	1485
189	348	1484
190	349	1482
191	351	1480
192	353	1477
193	355	1475
194	356	1473
195	358	1471
196	360	1469
197	362	1467
198	364	1465
199	366	1464
200	367	1462
201	369	1459
202	371	1456
203	372	1454
204	374	1452
205	376	1451
206	378	1449
207	380	1448
208	382	1446
209	384	1444
210	385	1443
211	387	1440
212	389	1438
213	391	1436
214	392	1434
215	394	1431
216	396	1429
217	398	1428
218	399	1425
219	401	1424
220	403	1422
221	405	1419
222	406	1417
223	408	1415
224	410	1413
225	412	1411
226	413	1409
227	415	1407
228	417	1405
229	419	1403
230	420	1401
231	422	1399
232	424	1397
233	426	1395
234	428	1394
235	430	1393
236	432	1390
237	433	1389
238	435	1386
239	437	1384
240	438	1382
241	440	1380
242	442	1378
243	444	1376
244	445	1374
245	447	1372
246	449	1370
247	451	1368
248	453	1367
249	455	1365
250	456	1362
251	458	1361
252	460	1359
253	462	1358
254	464	1356
255	466	1354
256	467	1352
257	469	1350
258	471	1348
259	473	1346
260	475	1345
261	476	1342
262	478	1340
263	480	1338
264	482	1337
265	483	1335
266	485	1333
267	487	1331
268	489	1328
269	490	1326
270	492	1324
271	494	1322
272	495	1320
273	497	1318
274	499	1316
275	501	1314
276	502	1312
277	504	1310
278	506	1308
279	508	1306
280	509	1304
281	511	1302
282	513	1300
283	515	1298
284	516	1296
285	518	1294
286	520	1292
287	521	1289
288	523	1288
289	525	1286
290	527	1285
291	529	1283
292	531	1282
293	533	1280
294	534	1278
295	536	1276
296	538	1274
297	539	1272
298	541	1269
299	543	1268
300	545	1266
301	547	1264
302	548	1262
303	550	1260
304	552	1257
305	553	1255
306	555	1253
307	557	1251
308	558	1249
309	560	1248
310	562	1246
311	564	1244
312	566	1242
313	567	1240
314	569	1238
315	571	1236
316	572	1234
317	574	1232
318	576	1230
319	577	1228
320	579	1225
321	581	1224
322	583	1222
323	585	1220
324	587	1220
325	589	1218
326	591	1216
327	593	1216
328	595	1215
329	597	1213
330	599	1212
331	601	1210
332	603	1208
333	604	1206
334	606	1204
335	608	1202
336	610	1201
337	612	1199
338	613	1197
339	615	1195
340	617	1193
341	619	1191
342	621	1189
343	622	1187
344	624	1185
345	626	1184
346	628	1182
347	630	1180
348	632	1178
349	633	1177
350	635	1175
351	637	1173
352	640	1173
353	641	1171
354	643	1169
355	645	1167
356	647	1165
357	648	1163
358	650	1161
359	652	1159
360	654	1157
361	655	1155
362	657	1154
363	659	1152
364	661	1150
365	663	1148
366	665	1147
367	666	1145
368	668	1143
369	670	1140
370	671	1138
371	673	1136
372	675	1135
373	677	1133
374	678	1131
375	680	1129
376	682	1127
377	684	1125
378	685	1123
379	687	1121
380	689	1119
381	690	1117
382	692	1115
383	694	1114
384	696	1112
385	697	1109
386	699	1108
387	701	1106
388	703	1104
389	704	1102
390	706	1101
391	708	1098
392	710	1097
393	712	1095
394	714	1093
395	716	1092
396	717	1090
397	719	1088
398	723	1089
399	725	1087
400	727	1086
401	728	1084
402	730	1082
403	732	1080
404	734	1079
405	736	1077
406	738	1075
407	739	1073
408	741	1071
409	743	1069
410	744	1067
411	746	1065
412	748	1063
413	750	1061
414	751	1059
415	753	1057
416	755	1055
417	757	1054
418	758	1052
419	760	1050
420	762	1048
421	763	1046
422	765	1044
423	767	1042
424	768	1040
425	770	1038
426	772	1036
427	774	1034
428	775	1032
429	777	1030
430	779	1028
431	781	1027
432	783	1025
433	785	1024
434	787	1022
435	788	1020
436	790	1018
437	792	1016
438	794	1014
439	796	1013
440	797	1011
441	799	1009
442	801	1007
443	803	1005
444	804	1003
445	806	1001
446	808	999
447	810	998
448	811	996
449	813	994
450	815	992
451	817	990
452	818	988
453	819	986
454	821	984
455	823	982
456	825	980
457	826	978
458	828	976
459	830	975
460	832	973
461	834	971
462	835	969
463	837	967
464	839	965
465	840	963
466	842	961
467	844	960
468	845	957
469	847	955
470	848	953
471	850	951
472	852	949
473	854	948
474	856	946
475	857	944
476	859	942
477	861	940
478	863	938
479	864	936
480	866	935
481	868	933
482	869	931
483	871	929
484	873	927
485	875	925
486	876	923
487	878	921
488	880	919
489	882	918
490	884	916
491	885	914
492	887	912
493	889	910
494	890	908
495	892	906
496	894	904
497	896	903
498	897	901
499	899	899
500	901	897
501	903	895
502	904	894
503	906	892
504	908	890
505	909	888
506	911	886
507	913	884
508	914	882
509	916	880
510	918	878
511	920	877
512	922	875
513	923	873
514	925	871
515	927	869
516	929	868
517	930	866
518	932	864
519	934	862
520	935	860
521	937	858
522	939	856
523	940	854
524	942	852
525	944	850
526	945	848
527	947	846
528	949	845
529	950	843
530	952	841
531	954	839
532	955	837
533	957	835
534	959	833
535	961	832
536	962	830
537	964	828
538	966	826
539	967	824
540	969	822
541	971	821
542	973	819
543	975	817
544	976	815
545	978	813
546	980	812
547	982	810
548	983	808
549	985	806
550	987	804
551	989	802
552	991	801
553	992	799
554	994	797
555	996	795
556	998	793
557	999	791
558	1001	790
559	1003	788
560	1005	786
561	1007	785
562	1009	783
563	1010	781
564	1012	779
565	1014	777
566	1016	775
567	1017	774
568	1019	772
569	1021	770
570	1023	768
571	1025	767
572	1027	765
573	1029	763
574	1031	762
575	1032	760
576	1034	758
577	1036	756
578	1037	754
579	1039	752
580	1041	751
581	1043	749
582	1045	747
583	1047	745
584	1048	744
585	1050	742
586	1052	740
587	1054	738
588	1056	737
589	1058	735
590	1060	733
591	1061	731
592	1063	729
593	1065	728
594	1067	726
595	1068	724
596	1070	722
597	1072	720
598	1074	719
599	1075	717
600	1077	715
601	1079	713
602	1081	712
603	1083	710
604	1085	708
605	1086	706
606	1088	704
607	1090	702
608	1091	701
609	1093	699
610	1095	697
611	1097	695
612	1099	694
613	1101	692
614	1102	690
615	1104	688
616	1106	686
617	1107	684
618	1111	684
619	1113	682
620	1115	680
621	1116	678
622	1118	676
623	1120	675
624	1122	673
625	1124	671
626	1126	669
627	1127	668
628	1129	666
629	1131	664
630	1133	662
631	1135	661
632	1137	659
633	1139	657
634	1140	655
635	1142	653
636	1144	652
637	1146	650
638	1147	648
639	1150	646
640	1151	645
641	1153	643
642	1155	641
643	1156	639
644	1158	637
645	1160	635
646	1162	634
647	1163	632
648	1165	630
649	1167	628
650	1169	626
651	1170	624
652	1172	623
653	1174	621
654	1176	619
655	1178	617
656	1179	616
657	1181	614
658	1183	612
659	1185	610
660	1187	609
661	1189	607
662	1190	605
663	1192	603
664	1194	601
665	1196	600
666	1198	598
667	1199	596
668	1201	594
669	1203	592
670	1204	590
671	1206	588
672	1208	587
673	1210	585
674	1211	583
675	1214	581
676	1215	580
677	1217	578
678	1219	576
679	1220	574
680	1222	572
681	1224	570
682	1226	569
683	1229	567
684	1230	566
685	1232	564
686	1234	562
687	1236	560
688	1238	558
689	1240	557
690	1242	555
691	1243	553
692	1245	551
693	1247	549
694	1249	548
695	1250	546
696	1252	544
697	1254	542
698	1255	540
699	1257	538
700	1259	537
701	1261	535
702	1262	533
703	1264	531
704	1266	529
705	1268	528
706	1270	526
707	1272	524
708	1274	523
709	1276	521
710	1277	519
711	1279	517
712	1281	515
713	1283	513
714	1284	512
715	1286	510
716	1288	508
717	1289	506
718	1291	504
719	1294	503
720	1295	501
721	1297	499
722	1299	497
723	1301	496
724	1302	494
725	1304	492
726	1306	490
727	1308	488
728	1309	486
729	1311	485
730	1313	483
731	1315	481
732	1316	479
733	1318	477
734	1320	476
735	1322	474
736	1324	472
737	1325	470
738	1327	468
739	1329	466
740	1331	465
741	1333	463
742	1335	461
743	1336	460
744	1338	458
745	1340	456
746	1341	454
747	1343	452
748	1345	450
749	1346	448
750	1348	447
751	1350	445
752	1352	443
753	1353	441
754	1355	439
755	1357	438
756	1359	436
757	1360	434
758	1362	432
759	1364	430
760	1365	428
761	1367	427
762	1369	425
763	1371	423
764	1372	421
765	1374	419
766	1376	418
767	1378	416
768	1379	414
769	1381	412
770	1382	410
771	1384	408
772	1386	407
773	1388	405
774	1389	403
775	1391	401
776	1393	399
777	1394	398
778	1396	396
779	1398	394
780	1400	392
781	1401	390
782	1403	388
783	1405	387
784	1406	385
785	1408	383
786	1410	381
787	1412	379
788	1413	378
789	1415	376
790	1417	374
791	1419	372
792	1420	370
793	1422	369
794	1424	367
795	1426	365
796	1428	363
797	1429	361
798	1431	360
799	1433	358
800	1434	356
801	1436	354
802	1438	352
803	1440	351
804	1441	349
805	1443	347
806	1444	345
807	1447	343
808	1449	342
809	1450	340
810	1452	338
811	1454	336
812	1456	334
813	1457	333
814	1459	331
815	1461	329
816	1463	327
817	1464	325
818	1466	324
819	1467	322
820	1469	320
821	1471	318
822	1473	316
823	1475	315
824	1476	313
825	1478	311
826	1480	309
827	1482	307
828	1484	306
829	1485	304
830	1487	302
831	1489	300
832	1491	298
833	1493	297
834	1495	295
835	1496	293
836	1498	291
837	1500	290
838	1502	288
839	1503	286
840	1505	284
841	1507	282
842	1509	281
843	1511	279
844	1512	277
845	1514	275
846	1516	273
847	1517	272
848	1519	270
849	1521	268
850	1523	266
851	1525	264
852	1529	263
853	1530	261
854	1532	259
855	1534	258
856	1536	256
857	1538	254
858	1539	252
859	1541	250
860	1542	249
861	1544	247
862	1546	245
863	1547	243
864	1549	241
865	1551	240
866	1553	238
867	1555	236
868	1556	234
869	1558	232
870	1560	231
871	1562	229
872	1564	227
873	1565	225
874	1567	223
875	1569	222
876	1570	220
877	1572	218
878	1574	216
879	1575	214
880	1577	213
881	1579	211
882	1581	209
883	1582	207
884	1584	205
885	1586	204
886	1587	202
887	1589	200
888	1591	198
889	1592	196
890	1594	195
891	1596	193
892	1598	191
893	1599	189
894	1601	187
895	1603	186
896	1605	184
897	1607	182
898	1609	180
899	1610	178
900	1612	177
901	1614	175
902	1615	173
903	1617	171
904	1619	169
905	1620	168
906	1622	166
907	1624	164
908	1626	162
909	1628	161
910	1629	159
911	1631	157
912	1633	155
913	1634	153
914	1636	152
915	1638	150
916	1640	148
917	1641	146
918	1643	144
919	1645	143
920	1647	141
921	1649	139
922	1650	137
923	1652	135
924	1654	134
925	1655	132
926	1657	130
927	1659	128
928	1660	126
929	1662	125
930	1664	123
931	1665	121
932	1667	119
933	1669	117
934	1671	116
935	1672	114
936	1674	112
937	1676	110
938	1678	109
939	1679	107
940	1681	105
941	1683	103
942	1684	101
943	1686	100
944	1688	98
945	1690	96
946	1691	94
947	1693	92
948	1695	91
949	1696	89
950	1698	87
951	1700	85
952	1701	83
953	1703	82
954	1705	80
955	1706	78
956	1708	76
957	1710	74
958	1712	73
959	1713	71
960	1715	69
961	1717	67
962	1718	66
963	1720	64
964	1722	62
965	1723	60
966	1725	58
967	1727	57
968	1728	55
969	1730	53
970	1732	51
971	1733	49
972	1735	48
973	1737	46
974	1739	44
975	1741	42
976	1743	41
977	1745	39
978	1746	37
979	1748	35
980	1750	33
981	1752	32
982	1753	30
983	1755	28
984	1757	26
985	1759	24
986	1760	23
987	1762	21
988	1764	19
989	1766	17
990	1767	16
991	1769	14
992	1771	12
993	1773	10
994	1774	8
995	1776	7
996	1778	5
997	1780	3
998	1782	1
999	1783	0
